,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,52,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0
Apple___Black_rot,0,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0
Apple___Cedar_apple_rust,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apple___healthy,1,0,0,143,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,1,0,0,0,4,0,2,0,0,0,1
Blueberry___healthy,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cherry_(including_sour)___Powdery_mildew,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cherry_(including_sour)___healthy,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Common_rust_,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Northern_Leaf_Blight,0,0,0,0,0,0,0,14,1,77,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Corn_(maize)___healthy,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,0,0,0,0,0,0,0,0,0,0,0,101,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Grape___Esca_(Black_Measles),0,0,0,0,0,0,0,0,0,0,0,3,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grape___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Orange___Haunglongbing_(Citrus_greening),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peach___Bacterial_spot,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,217,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
Peach___healthy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___Bacterial_spot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0
"Pepper,_bell___healthy",0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,136,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Potato___Early_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Potato___Late_blight,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,81,1,0,0,1,0,0,0,1,11,0,1,0,0,0,0,0
Potato___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Raspberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Soybean___healthy,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,498,0,0,0,1,0,0,0,0,1,0,0,0,3
Squash___Powdery_mildew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,1,0,0,0,0,0,0,1
Strawberry___Leaf_scorch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,1,1,0,1,0,0,0,0,0
Strawberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
Tomato___Bacterial_spot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,203,2,1,0,0,0,2,2,0,0
Tomato___Early_blight,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,81,4,1,2,1,1,1,0,0
Tomato___Late_blight,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,14,0,0,0,1,0,0,2,5,156,3,0,0,0,1,0,0
Tomato___Leaf_Mold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,1,0,0,0
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,0,1,15,147,0,1,0,0,1
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,158,3,1,0,1
Tomato___Target_Spot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,6,13,111,1,0,3
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,0,526,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0
Tomato___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,158
